"Ты получишь ""частоты"" как с верными так и с неправильными ответами. Можешь построить bar  диаграмму и оценить насколько хорош K-means как классификатор"
но видимо так принято
хотя эт необязательно наверно
первый вектор должен быть истинным
"ты скармливаешь два вектора. По строкам тебе показывает какие настоящие значения, по столбцам что предсказало по этим строкам. По диагонали то что совпало"
"Ребят, а вы можете мне объяснить, как работает crosstab в задании 4 по МОМО? Как эту замечательную табличку анализировать?"
"Немного дополню, не нравится ML так таковой: есть куча вакансий по развертыванию моделей от облаков до кофеварок. И именно для embedded решений очень не хватает спецов"
"Мне знания по ML помогли реализовать алгоритм автофокуса,  детектор прохождения отдельных вагонов на лазерном дальномере и т.п."
На дворника можно без резюме и опыта
"Гидрология, сталелитейные цеха сколько добавлять легирующих добавок, акустические детекторы неисправностей в валах гребных винтов и т.д. Сейчас хотят сделать аппаратные кодировщики видео на трансформерах) Работы много, но необходимо специализоваться"
"Вы бы ещё привели конкурс в 900 бортпроводников на вакансию 🤨
Вобщем, срочно переучиваемся на токарей, врачей и дворников 😆"
"Так ML/DL не только в банках нужны: компьютерное зрение, промышленность, медицина"
"Конкурс на DS: 90 человек на вакансию, жуть... 

https://www.mk.ru/social/2022/12/28/nazvany-samye-deficitnye-professii-v-rossii.html"
"Ссылки вспомогательных материалов от преподавателя (Английский, продолжающие) 

https://www.indeed.com/career-advice/resumes-cover-letters/chronological-resume-tips-and-examples
https://www.indeed.com/career-advice/resumes-cover-letters/functional-resume-tips-and-examples
https://www.indeed.com/career-advice/resumes-cover-letters/combination-resume-tips-and-examples"
Спасибо
через час
Я что то не понял будет занятие по энглишу или нет?
"(надеюсь, преподаватель уже тоже в курсе, что в среду не будет))"
""
Ура!
В календаре удалил из расписания
"Ну, вот, все и решилось"
"Прошу прощения. Все перепуталось. Да, все занятия проведены.

Это консультация, которая будет в январе"
"Ой, да, я не заметила, какую фамилию Макс написал) По контексту решила, что Солодушкин"
Так шо прошу простить
У меня деменция  на фамилии
"Ахахха думаю, про него"
"Созыкин есть в слаке, или вы про Солодушкина?)"
""
Хорошо
Или давайте я подумаю и сама напишу
"Ну, если мне скажут, что точно узнать, я могу написать"
"Может, вы тогда взялись бы написать?"
"Да? Значит, я не так поняла
Нужно хотя бы чтобы написал кто-то один, а не все 137 человек)"
Еще че
А как с ним тогда общаться
"А вроде, вначале наоборот сказал"
"Ох, он вроде говорил, что не хотел бы, чтобы ему студенты писали... Хотя в такой ситуации..."
"И узнать че, да как"
Можно созыкину в ВК написать
"Владислав, всё-таки поясните, пожалуйста, что за занятие. Для пропущенного в какой день? Лекция, семинар, ещё что-то?.. Семинары, отмененные 10.12, уже восстановили 17.12!

Есть сильное подозрение, что всё-таки имеется в виду консультация, но на неё есть смысл приходить только подготовив вопросы... Но подготовить их за оставшиеся сутки (если даже вы подтвердите, что это действительно консультация) нереалистично"
Добрый вечер! Четвёртое занятие по английскому состоится после нового года (в первую рабочую неделю 10 и 13 января). https://urfuml22.slack.com/archives/C03USG49683/p1672073213246229?thread_ts=1672070516.062569&cid=C03USG49683
"Изначально планировалось, что занятие будет после праздников, но решили поставить до праздников)"
"Так и есть, попрощался"
"Владислав, но ведь пропущенные из-за болезни преподавателя семинары от 10.12 были восстановлены 17.12, разве нет?
Глянула последние выложенные по предмету  записи (лекция от 8.12, семинары от 17.12), - если я правильно поняла, преподаватель там попрощался с нами до после праздников..."
"Да забейте, они десять тысяч раз все меняют, у меня в универе деканаты до сессии сами не могли ответить, что у нас по дисциплине , если че- сами пересчитают"
Один раз такое было 😂... чисто потому что за рулём был
"кстати, да"
"Вроде как, да"
у base элективом как я понял
"Кто-то будет читать ваш диплом , хорошая шутка"
Питон еще 2й семестр нет?
"Есть ощущение, что на этой неделе в группах base у многих микрофоны сломаются перед лекцией))"
но по Python и линукс тоже экзамены стояли
"МОМО 3 семестр экзамен, МОАД 2 семестр экзамен должны быть"
А что у нас будет в дипломе в итоге? Я понимаю - зачет по английскому. Но МОМО и МОАД это же базовые дисциплины?
вроде все как и было изначально)
В плане облегчения?
А почему такие облегчения условий учёбы вдруг? Прогнозируется массовый исход студентов?
Да это как с МОАД требование преподавателя... возможно
"Спасибо, очень нужный скилл"
Решаем тесты на грамматику ))(((((
"Да, блин, типо не в этом дело, не понятно зачем на это время убивать"
"Ещё после первого занятия говорили, что она принтскринит участников, ясное дело не просто так. Но у кого С1/С2 - им без разницы, сдадут в легкую"
Чудеса на виражах
Ору
""
Надеюсь она за 4 занятия решила поднять мне инглиш до флюинта
"Ну вообще 2 прошло, так что варианты есть)"
"Собрал для вас всю информацию по дисциплинам для зачета:
1. ОС Linux. Зачет без оценки от 40 баллов.
Сделать на платформе 2 задания, за которые можно получить по 50 баллов:
Домашнее задание №2 - максимум 50 баллов
Домашнее задание №4 - максимум 50 баллов
2. Python Base. Зачет без оценки от 40 баллов.
Сделать 3 задания на платформе:
Python Base. Numpy. ДЗ (HW) - максимум 30 баллов
Python Base. Pandas. ДЗ (HW) - максимум 40 баллов
Python Base. Цикл for и цикл while и функции. ДЗ (HW) - максимум 30 баллов
3. Python Pro. Зачет без оценки от 40 баллов.
Сделать 3 задания на платформе, а также итоговый проект:
Python PRO. Библиотека Pandas. ДЗ (HW) - максимум 25 баллов
Python PRO. Условные операторы и циклы. ДЗ (HW) - максимум 25 баллов
Python PRO. Функции и библиотека Numpy. ДЗ (HW) - максимум 20 баллов
Итоговый проект - максимум 30 баллов
4. Математические основы машинного обучения. Зачет без оценки.
Для зачета нужно сделать здания на 60% от всех баллов. Максимум можно получить 80 баллов. То есть для зачета нужно сделать заданий на 48 баллов.
Практическое задание №1 - максимум 16 баллов
Практическое задание №2 - максимум 12 баллов
Практическое задание №3 - максимум 12 баллов
Практическое задание №4 - максимум 28 баллов
Практическое задание №5 - максимум 12 баллов
5. Математические основы анализа данных. Зачет без оценки.
Будет проходить зачет в очном формате. На зачете нужно будет решить задачи, примеры задач были показаны на занятиях (рекомендую пересмотреть записи занятий).
6.  Программная инженерия. Зачет без оценки.
Сделать итоговый проект, который нужно будет защищать в очном формате. Проект делается в команде. У вас есть возможность присоединиться к команде. Распределение находится по ссылке
7.  Business English. Зачет без оценки.
Выполнить все грамматические упражнения, выложенные на платформе, на оценку не ниже 40%.
Посещать занятия (минимум 2 из 4)
Желаю всем успехов и удачи :румянец:"
"надеюсь, что стоит звездочка *с момента оповещения студентов об этом нововведении"
"У меня как бы уже двух нет ибо нахуя, вопрос интересный…."
"Владислав выложил, что для зачета надо не меньше двух посещений"
"а можно подробности, плз?"
Жесть конечно
Ляяяяяяяяя это че надо ходить на этот Английский……
Успеешь подготовиться
"Да, конечно)"
"аааа, просто мы были уверены, что все 8 лекций и 16 практик у нас были. Преподаватель знает, что у нас в среду занятие?"
"Добрый день) 
На этой неделе стоит не консультация по мат. основам анализа данных, а пропущенное занятие из-за болезни преподавателя. Консультация будет после праздников. 
Сейчас идет решение вопроса над изменением зачета по данной дисциплине на субботу)"
"Кому сразу после праздников плохо, а нам уже 3го всей страной на работу 😂"
"меня терзают сомнения, но зачёты 9января утром и 10января вечером из расписания, вполне могут остаться реальностью"
🙁 ну а что поделаешь? Планировалась она до нового года. А изначально она вообще не планировалась
"не знаю как вам, а мне до нг неудобно("
поставили нам консультацию по МОАД
Классная тема! 👍
https://github.com/orgail/ml_punctuate/actions
можешь ссылку скинуть на репозиторий?
"Да, добавлял, да, сработал."
разобрались)) спасибо!
"А что за задание хоть? Ты заскринь, выложи сюда, тут тебе советов накидают с горкой)"
"плохо, пойду дальше мучаться"
"если использовать ту же выборку, то да. но меня еще не проверили"
вопрос ответы в задании 1 и задании 2 должны сходиться?
"привет.
ты лучше сразу вопрос пиши"
"Всем, привет! Кто из группы Python. Уровень Base и с принятым заданием 2, можете уделить мне минут 5? очень надо, уже 2 дня над ним сижу"
""
"да. я понял этот пункт именно так.

https://lms.skillfactory.ru/courses/course-v1:SkillFactory+URFUML22p1s+SEP2022/courseware/57663e4b1c894808b653790402cd8e88/df5591a2f2fe41b4be9565c70ec1f107/1?activate_block_id=block-v1%3ASkillFactory%2BURFUML22p1s%2BSEP2022%2Btype%40vertical%2Bblock%40f8d21595bcd14a2f88e5baf26d0b9e58"
"То есть всем поставят одинаковый балл (до 20 максимум), который зависит от того, насколько было равномерное распределение работы?"
у меня просто готово все и я только поэтому делаю выводы
в программной инженерии
"Был грешок, писал немножко. Скопипастил много чего, но осмысленно 😄"
а что ты писал?
"не, там как раз “Равномерность вклада участников команды в полученный результат”: 20"
"Ну хз, мы наверное на разных программных инженериях учимся."
"В репозитории хранятся истории комитов от всех участников. На защите оценивается работоспособность и сложность проекта, на основании этого в соответствующей графе ставят баллы. Но есть ещё баллы для каждого участника (от 0 до 20 вроде бы) именно за степень участия."
"а так что суть проекта в том, что ты берешь готовую модель, разворачиваешь  ее в облаке и добавляешь готовый текст. коммиты подразумевают написание кода, а дисциплиной написание кода не предусмотрено"
"А как это противоречит тому, что будут смотреть комиты от всех"
в тетрадку
и все записали
Созыкин наверно говорил что надо ссылки с коммитами сдавать
👍🏻👍🏻👍🏻
началось бля
"Если работу приняли значит, что всё норм"
На занятиях вопросы задавали по итоговым проектам и Созыкин говорил что делать
серьезно? я только вчера читал что мы сдаем в отведенный день по пятнадцать минут каждый
""
"Вот чекаю гугл календарь, там пусто, ладно, спасибо"
"На эту неделю только английский же, расписание уже есть."
Расписания что-то еще не появилось
Вроде да
"Возможно, я просто хз что тогда сегодня, есть ли вообще что нибудь"
"Так сдаём же ссылки на коммит владельца группы, а там видны все коммиты"
а разве докер был не на следующий семестр?
Или это во вторник
Сегодня программная инженерия по докеру как я полагаю или нет?
и много разных нюансов
"там не в этом дело, там на том же стримлите развернуть может только владелец репозитория"
""
который не работает
я только тест добавил
"он туда css, html и javascript допилил"
у меня б месяц ушел
причем часов за шесть
у нас в группе ваще все один чел сделал
"Нам на практике говорили, что будут смотреть комиты от всех"
"Наверное, судя по тому как работы принимали)"
ты тест добавлял? он у тебя сработал?
"не, там будет прост защита. как ты там сделаешь коммиты, один тест, второй саму модель третий еще что-то"
кто что сделал
Там по коммитам же будут смотреть плюс кое какое резюме по проекту надо написать
"Всем привет! По программной инженерии - Вроде сделал итоговый проект, но я один, если кому совсем тяжко, то пишите, сдадим проект командой."
"может кому-то нужны письма с английского распознанные:

Dear Sir
You have owed us 567.00 since February, which means you haven't paid us for three months.
We have written to you twice and you haven't bothered to answer us, yet you have been a customer for years. Anyway, we are not goin to put up with this, so if you don't tell us why you haven't paid, or send the money you owe us in ten days, we'll sue you. After all, we have got bills to pay too, and besides we explaines our rules for giving credit, i.e. payment on due dates, some time ago.

Yours, etc.



Dear Mr Lancaster
I am writing to you in reply to your letter dated 9 May, which we received on 10 May, in which you reminded us of our outstanding balance, which now amounts to the sum total of 567.00.
I should like to offer my humblest apologies for our failure either to settle the account, or to reply to your two previous communications. However, I feel that I must explain the cause. We have been the unfortunate victims of a tragedy. Two months ago, our premises were almost completely destroyed by fire. Although I am happy to report that we sustaines no casualties all our records, stock, orders ready for despatch and so on, were consumed by the flames.
Now, at last, our fortunes are beginning to rise again, and our insurance company will shortly be releasing funds to facilitate our recovery. Let me assure you that you will be remunerated in full as soon as possible. In the interim, I would be grateful if you would accept a small sum towards the settlement of our account, with my personal promise that the remaining amount will be forwarded to you as soon as it becomes available.
Please find enclosed a cheque for the sum of 55.00 and once again, I bed you to accept my deepest apologies for any inconvenience caused.
Yours sincerely."
"сорян, обманул цифры получились хуже, но работа была проделана"
"Понял, спасибо большое 🙏🏻"
"Предполагаю, что может быть метрики не были выведены и проанализированы. Но отложенная выборка это именно то."
"Странно, делал всё именно так, но при этом с меня сняли балл и вот такой комментарий написали 

Мб типа комментарий с оценкой и анализом по отложенной выборке не прописал, потому и сняли? 🤔"
Читы никто не запрещал)
Пон) читы из будущего
Это после использования rbf approximation из sklearn
покажи как такая точность получилась
"да ты маг какой-то...
У меня там процентов ну мб 30 от силы"
"K-means довольно неплохо справляется в среднем с классификацией у меня получилось precision .82 по типам кузова, но это в среднем по  некоторым кузовам 0.0"
"По идее, да,
Но у меня лично не так получилось, а каша какая-то))"
"Люди добрые, подскажите! В последнем пункте 4 задания МОМО, про кластеризацию которое, что-то типа такого должно получиться?"
"только проверь, что по адресу все работает)
а то у меня, например, стримлит не сразу заработал. пришлось немного колдовать"
"это типа “личные предпочтения”, исходя из его опыта.
мне лично не создает проблем папка с окружением прямо в проекте."
"Аа, Созыкин так сказал просто) что лучше делать отдельную папку вне проекта"
"Я на пару дней убирал галочку ""прерываемый"" из вмки, чтобы не отключался и после проверки обратно сделал прервваемым"
"Могу сказать, что уже проверили, Созыкин попросил оставить ВМ включённым до момента проверки."
"Урра!!! надеюсь, что этого достаточно 😊"
IP:8080 и все.
"Всем привет! по По программной инженерии  практика модуль 4 - нужно приложить ""Ссылку на развернутое в облаке приложение"" - это как? у меня вариант, что это IP-адрес, по которому приложение доступно в инете.
Или нужно что-то поколдовать с доступом проверяющего к серверу, чтобы смогли подключиться к папке на сервере и соответственно в ответе дать ссылку на сервер и путь к папке с исполняемым файлом? 🤔"
https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.train_test_split.html - если лень руками писать)
"Когда разбиваешь данные на x_train, y_train, x_test, y_test, то  x_test, y_test это и есть отложенная выборка, насколько я понимаю. Просто весь набор данных сразу делится на обучающую и тестовую часть, а метрики считаются на обученной модели на тестовой части данных, которые не используются для обучения."
